date,oslo_school_holiday,national_holiday
01-01-2020,TRUE,TRUE
02-01-2020,TRUE,FALSE
03-01-2020,FALSE,FALSE
04-01-2020,FALSE,FALSE
05-01-2020,FALSE,FALSE
06-01-2020,FALSE,FALSE
07-01-2020,FALSE,FALSE
08-01-2020,FALSE,FALSE
09-01-2020,FALSE,FALSE
10-01-2020,FALSE,FALSE
11-01-2020,FALSE,FALSE
12-01-2020,FALSE,FALSE
13-01-2020,FALSE,FALSE
14-01-2020,FALSE,FALSE
15-01-2020,FALSE,FALSE
16-01-2020,FALSE,FALSE
17-01-2020,FALSE,FALSE
18-01-2020,FALSE,FALSE
19-01-2020,FALSE,FALSE
20-01-2020,FALSE,FALSE
21-01-2020,FALSE,FALSE
22-01-2020,FALSE,FALSE
23-01-2020,FALSE,FALSE
24-01-2020,FALSE,FALSE
25-01-2020,FALSE,FALSE
26-01-2020,FALSE,FALSE
27-01-2020,FALSE,FALSE
28-01-2020,FALSE,FALSE
29-01-2020,FALSE,FALSE
30-01-2020,FALSE,FALSE
31-01-2020,FALSE,FALSE
01-02-2020,FALSE,FALSE
02-02-2020,FALSE,FALSE
03-02-2020,FALSE,FALSE
04-02-2020,FALSE,FALSE
05-02-2020,FALSE,FALSE
06-02-2020,FALSE,FALSE
07-02-2020,FALSE,FALSE
08-02-2020,FALSE,FALSE
09-02-2020,FALSE,FALSE
10-02-2020,FALSE,FALSE
11-02-2020,FALSE,FALSE
12-02-2020,FALSE,FALSE
13-02-2020,FALSE,FALSE
14-02-2020,FALSE,FALSE
15-02-2020,FALSE,FALSE
16-02-2020,FALSE,FALSE
17-02-2020,TRUE,FALSE
18-02-2020,TRUE,FALSE
19-02-2020,TRUE,FALSE
20-02-2020,TRUE,FALSE
21-02-2020,TRUE,FALSE
22-02-2020,FALSE,FALSE
23-02-2020,FALSE,FALSE
24-02-2020,FALSE,FALSE
25-02-2020,FALSE,FALSE
26-02-2020,FALSE,FALSE
27-02-2020,FALSE,FALSE
28-02-2020,FALSE,FALSE
29-02-2020,FALSE,FALSE
01-03-2020,FALSE,FALSE
02-03-2020,FALSE,FALSE
03-03-2020,FALSE,FALSE
04-03-2020,FALSE,FALSE
05-03-2020,FALSE,FALSE
06-03-2020,FALSE,FALSE
07-03-2020,FALSE,FALSE
08-03-2020,FALSE,FALSE
09-03-2020,FALSE,FALSE
10-03-2020,FALSE,FALSE
11-03-2020,FALSE,FALSE
12-03-2020,FALSE,FALSE
13-03-2020,FALSE,FALSE
14-03-2020,FALSE,FALSE
15-03-2020,FALSE,FALSE
16-03-2020,FALSE,FALSE
17-03-2020,FALSE,FALSE
18-03-2020,FALSE,FALSE
19-03-2020,FALSE,FALSE
20-03-2020,FALSE,FALSE
21-03-2020,FALSE,FALSE
22-03-2020,FALSE,FALSE
23-03-2020,FALSE,FALSE
24-03-2020,FALSE,FALSE
25-03-2020,FALSE,FALSE
26-03-2020,FALSE,FALSE
27-03-2020,FALSE,FALSE
28-03-2020,FALSE,FALSE
29-03-2020,FALSE,FALSE
30-03-2020,FALSE,FALSE
31-03-2020,FALSE,FALSE
