hour,predicted_trips,temp_c,precip_mm,wind_speed_ms,cloud_area_fraction,is_school_holiday,is_national_holiday
2026-07-08 04:00:00,0,9.5,0.0,0.9,0.0,1,0
2026-07-08 05:00:00,23,9.3,0.0,1.3,0.0,1,0
2026-07-08 06:00:00,109,10.7,0.0,1.7,0.0,1,0
2026-07-08 07:00:00,326,13.1,0.0,1.2,0.0,1,0
2026-07-08 08:00:00,420,15.1,0.0,2.0,0.0,1,0
2026-07-08 09:00:00,245,16.2,0.0,2.3,0.0,1,0
2026-07-08 10:00:00,213,17.7,0.0,2.4,0.0,1,0
2026-07-08 11:00:00,238,19.1,0.0,2.5,0.0,1,0
2026-07-08 12:00:00,247,20.6,0.0,2.5,0.0,1,0
2026-07-08 13:00:00,272,22.3,0.0,2.6,0.2,1,0
2026-07-08 14:00:00,326,23.8,0.0,2.8,21.3,1,0
2026-07-08 15:00:00,498,24.8,0.0,2.6,53.6,1,0
2026-07-08 16:00:00,546,25.6,0.0,1.9,79.2,1,0
2026-07-08 17:00:00,492,25.8,0.0,1.6,85.0,1,0
2026-07-08 18:00:00,406,25.5,0.0,1.8,80.1,1,0
2026-07-08 19:00:00,343,24.6,0.0,1.9,61.3,1,0
2026-07-08 20:00:00,290,22.9,0.0,2.4,41.5,1,0
2026-07-08 21:00:00,233,21.5,0.0,2.4,30.0,1,0
2026-07-08 22:00:00,197,19.7,0.0,3.0,14.0,1,0
2026-07-08 23:00:00,164,18.1,0.0,3.5,5.6,1,0
2026-07-09 00:00:00,95,16.8,0.0,3.4,3.4,1,0
2026-07-09 01:00:00,0,15.9,0.0,3.1,3.1,1,0
2026-07-09 02:00:00,0,15.0,0.0,3.1,2.5,1,0
2026-07-09 03:00:00,0,14.1,0.0,2.6,14.7,1,0
2026-07-09 04:00:00,0,13.3,0.0,2.4,25.8,1,0
2026-07-09 05:00:00,20,12.5,0.0,2.3,27.7,1,0
2026-07-09 06:00:00,93,13.0,0.0,2.2,53.4,1,0
2026-07-09 07:00:00,309,13.7,0.0,1.9,46.2,1,0
2026-07-09 08:00:00,401,14.6,0.0,1.5,50.7,1,0
2026-07-09 09:00:00,237,15.5,0.0,1.1,54.3,1,0
2026-07-09 10:00:00,209,16.8,0.0,0.5,58.8,1,0
2026-07-09 11:00:00,233,18.0,0.0,1.9,56.8,1,0
2026-07-09 12:00:00,249,19.5,0.0,2.3,37.9,1,0
2026-07-09 13:00:00,275,20.9,0.0,2.5,35.6,1,0
2026-07-09 14:00:00,330,21.9,0.0,1.9,36.4,1,0
2026-07-09 15:00:00,467,22.8,0.0,1.4,31.5,1,0
2026-07-09 16:00:00,529,23.6,0.0,1.1,23.8,1,0
2026-07-09 17:00:00,473,24.4,0.0,0.9,50.9,1,0
2026-07-09 18:00:00,394,24.7,0.0,1.0,47.0,1,0
2026-07-09 19:00:00,345,24.2,0.0,1.0,7.4,1,0
2026-07-09 20:00:00,298,23.7,0.0,1.4,0.4,1,0
2026-07-09 21:00:00,244,22.7,0.0,2.0,0.0,1,0
2026-07-09 22:00:00,205,21.2,0.0,2.1,0.3,1,0
2026-07-09 23:00:00,178,19.4,0.0,1.9,10.7,1,0
2026-07-10 00:00:00,99,18.2,0.0,1.0,15.6,1,0
2026-07-10 01:00:00,0,17.1,0.0,1.8,12.2,1,0
2026-07-10 02:00:00,0,16.5,0.0,2.3,13.8,1,0
2026-07-10 03:00:00,0,16.4,0.0,2.4,50.9,1,0
2026-07-10 04:00:00,0,16.5,0.0,3.0,44.8,1,0
2026-07-10 05:00:00,22,16.4,0.0,3.1,8.2,1,0
2026-07-10 06:00:00,92,16.7,0.0,3.0,4.1,1,0
2026-07-10 07:00:00,248,17.7,0.0,3.3,3.9,1,0
2026-07-10 08:00:00,347,18.6,0.0,3.0,3.7,1,0
2026-07-10 09:00:00,243,20.233333333333334,0.0,2.75,6.800000000000001,1,0
2026-07-10 10:00:00,242,21.866666666666667,0.0,2.5,9.900000000000002,1,0
2026-07-10 11:00:00,276,23.5,0.0,2.25,13.0,1,0
2026-07-10 12:00:00,291,25.133333333333333,0.0,2.0,16.1,1,0
2026-07-10 13:00:00,315,26.766666666666666,0.0,1.75,19.200000000000003,1,0
2026-07-10 14:00:00,368,28.4,0.0,1.5,22.3,1,0
2026-07-10 15:00:00,464,28.23333333333333,0.0,1.5666666666666667,25.1,1,0
2026-07-10 16:00:00,477,28.066666666666666,0.0,1.6333333333333333,27.900000000000002,1,0
2026-07-10 17:00:00,433,27.9,0.0,1.7,30.700000000000003,1,0
2026-07-10 18:00:00,362,27.73333333333333,0.0,1.7666666666666666,33.5,1,0
2026-07-10 19:00:00,312,27.566666666666666,0.0,1.8333333333333333,36.300000000000004,1,0
2026-07-10 20:00:00,250,27.4,0.0,1.9,39.1,1,0
2026-07-10 21:00:00,218,26.166666666666664,0.0,1.7833333333333332,39.93333333333334,1,0
2026-07-10 22:00:00,212,24.933333333333334,0.0,1.6666666666666665,40.766666666666666,1,0
2026-07-10 23:00:00,206,23.7,0.0,1.5499999999999998,41.6,1,0
2026-07-11 00:00:00,162,22.46666666666667,0.0,1.4333333333333331,42.43333333333334,1,0
2026-07-11 01:00:00,0,21.233333333333334,0.0,1.3166666666666667,43.266666666666666,1,0
2026-07-11 02:00:00,0,20.0,0.0,1.2,44.1,1,0
2026-07-11 03:00:00,0,20.266666666666666,0.0,1.1666666666666665,46.516666666666666,1,0
2026-07-11 04:00:00,0,20.533333333333335,0.0,1.1333333333333333,48.93333333333334,1,0
2026-07-11 05:00:00,34,20.8,0.0,1.1,51.35,1,0
2026-07-11 06:00:00,36,21.066666666666666,0.0,1.0666666666666667,53.766666666666666,1,0
2026-07-11 07:00:00,56,21.333333333333336,0.0,1.0333333333333332,56.18333333333334,1,0
2026-07-11 08:00:00,78,21.6,0.0,1.0,58.6,1,0
2026-07-11 09:00:00,148,22.683333333333334,0.5499999999999999,1.15,60.81666666666667,1,0
2026-07-11 10:00:00,183,23.76666666666667,1.0999999999999999,1.3,63.03333333333334,1,0
2026-07-11 11:00:00,243,24.85,1.6499999999999997,1.45,65.25,1,0
2026-07-11 12:00:00,263,25.933333333333334,2.1999999999999997,1.6,67.46666666666667,1,0
2026-07-11 13:00:00,267,27.01666666666667,2.7499999999999996,1.75,69.68333333333334,1,0
2026-07-11 14:00:00,268,28.1,3.3,1.9,71.9,1,0
2026-07-11 15:00:00,273,27.383333333333333,2.75,2.0666666666666664,74.76666666666667,1,0
2026-07-11 16:00:00,275,26.666666666666668,2.2,2.2333333333333334,77.63333333333334,1,0
2026-07-11 17:00:00,274,25.950000000000003,1.6500000000000001,2.4,80.5,1,0
2026-07-11 18:00:00,257,25.233333333333334,1.1,2.5666666666666664,83.36666666666666,1,0
2026-07-11 19:00:00,219,24.516666666666666,0.5500000000000003,2.7333333333333334,86.23333333333333,1,0
2026-07-11 20:00:00,210,23.8,0.0,2.9,89.1,1,0
2026-07-11 21:00:00,182,22.96666666666667,0.0,3.1166666666666667,88.96666666666667,1,0
2026-07-11 22:00:00,170,22.133333333333333,0.0,3.3333333333333335,88.83333333333333,1,0
2026-07-11 23:00:00,184,21.3,0.0,3.55,88.69999999999999,1,0
2026-07-12 00:00:00,131,20.46666666666667,0.0,3.7666666666666666,88.56666666666666,1,0
2026-07-12 01:00:00,0,19.633333333333333,0.0,3.9833333333333334,88.43333333333334,1,0
2026-07-12 02:00:00,0,18.8,0.0,4.2,88.3,1,0
2026-07-12 03:00:00,0,18.633333333333333,0.0,4.183333333333334,78.73333333333333,1,0
2026-07-12 04:00:00,0,18.46666666666667,0.0,4.166666666666667,69.16666666666666,1,0
2026-07-12 05:00:00,21,18.3,0.0,4.15,59.6,1,0
2026-07-12 06:00:00,19,18.133333333333333,0.0,4.133333333333333,50.03333333333333,1,0
2026-07-12 07:00:00,41,17.96666666666667,0.0,4.116666666666666,40.46666666666667,1,0
2026-07-12 08:00:00,54,17.8,0.0,4.1,30.9,1,0
2026-07-12 09:00:00,102,19.033333333333335,0.0,3.9499999999999997,40.0,1,0
2026-07-12 10:00:00,153,20.266666666666666,0.0,3.8,49.099999999999994,1,0
2026-07-12 11:00:00,235,21.5,0.0,3.65,58.2,1,0
2026-07-12 12:00:00,273,22.733333333333334,0.0,3.5,67.3,1,0
2026-07-12 13:00:00,287,23.966666666666665,0.0,3.35,76.4,1,0
